Cluster,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude
1,0.47058823529411764,0.4976584808680754,0.9977155910908052,1.9900628212450029,10773.41462021702,4470.4726442033125,15.95671045117076,356.4986864648772,522.3123929183324,923.6280982295832,829.9027984009138,759.6106225014278,430.6688749286122,1644.998286693318,311.5358081096516,117.3083952027413,0.27642580659489335,2016.6436322101656,1.0,38.74897172656335,-9.16734879942291
2,1.0353829557713052,0.8992988133764833,0.7571197411003237,3.207281553398058,10671.2165587918,1995.1504314994606,14.07621359223301,1978.7453074433658,419.56256742179073,416.9426645091694,78.32928802588992,93.57901833872711,726.7718446601941,205.12297734627833,262.0442286947141,83.59546925566343,0.10053457674485727,2014.9271844660195,1.0,38.74741978492568,-9.158048784710621
3,1.838594470046083,0.7330645161290323,2.3616359447004607,2.2754608294930874,11252.50547235023,1083.8552995391706,10.56434331797235,309.2385368663595,257.13018433179724,571.9847350230415,614.2236175115207,509.8413594470046,481.09706221198155,134.58594470046083,306.6736175115207,74.4602534562212,0.4524676627171662,2016.9288594470047,1.0,38.74838003477504,-9.158311683840441
4,1.0441291880470873,0.8566857832779957,0.5635979474796258,3.6420162994265017,12211.639299728344,853.0257168729249,10.733413824328403,1475.0726230003017,609.6827648656806,180.2811349230305,178.2557198913371,132.63815273166313,1992.4907334741924,126.0316933293088,414.1331119830969,125.14518563235738,0.15410193615194784,2016.5246000603684,1.0,38.763354390508056,-9.12631573906581
5,0.6136039495337355,0.5030718595721339,0.7145639056500275,4.434558420186505,12031.00562260011,1081.7535106966538,14.825781678551838,430.8074876577071,269.5076796489303,471.97059791552385,703.7075425123423,442.2939659901262,506.56659352715303,218.81922654964345,302.7665386725178,116.75356555128909,0.5720176947639345,2016.8115743280307,1.0,38.74829731215593,-9.152461005367593
6,0.238037430450177,0.2871016691957511,1.1191704602933739,1.4068791097622662,8553.90338897319,13342.748204350026,17.61375821952453,177.28426909458778,557.4855842185129,1102.3023773394032,921.2757713707638,870.4333839150228,250.15781487101668,1450.9824987354577,310.21891755184623,106.72281234193223,0.2606093318492094,2017.3606474456246,1.0,38.74864989582266,-9.172450490308956
7,1.0364219987160284,1.0092873956772952,1.0555531778300877,3.8605606676653115,33412.2846137385,3684.53956772951,13.14671517226621,403.03085812112135,712.8671089236037,826.9747913545903,1079.4476353520222,1013.4487481275412,1149.917997004066,329.29907982024395,356.4877808688209,259.46543976032524,0.37304266232264166,2012.7667451316072,1.0,38.748170745374054,-9.156599524988357
8,0.5753950887430099,0.8309749574519816,0.30644298565523953,1.7918307804522247,17512.91393143691,1014.2793581327498,8.255336737174812,588.7730610260151,319.10843666423534,262.08003890104544,804.8114758084123,700.4073911986384,805.9071723802577,171.3352783856066,407.58259178215417,152.73839046924385,0.1463879664371513,2013.3374665694141,1.0,38.747866827109185,-9.157159097168144
9,3.7309967141292444,2.8221978824388465,0.9158086893026652,3.1953997809419494,24811.534501642935,5059.667761956918,10.075575027382257,844.8287696239504,820.4545454545455,1548.0397225264696,1511.070974808324,1328.763344286236,914.9464768163564,409.0687842278204,361.9130339539978,302.40160642570277,0.20717618275637922,2013.3001095290251,1.0,38.74818666602861,-9.156229243772069
Overall,1.116290332344573,0.8986500393486289,0.9306192868817725,3.16678370361402,16306.227798292875,2764.3867485925302,12.66092983836794,727.4326714692172,464.35277559174284,622.0058478116109,723.797439312307,608.0521641745868,820.3647012531025,373.9327925419214,336.2359646467704,148.914643743568,0.31894989249309647,2015.3118530177371,1.0,38.74969359246252,-9.154549063726972
