customer_id,recency_invoice,frequency,total_spending,R_score,F_score,S_score,RFS_code,RFS_total,RFS_segment
3,7994762.0,2.0,18590.0,2,2,3,223,7,At Risk
4,9516601.0,2.0,20233.0,3,2,3,323,8,At Risk
5,9251722.0,1.0,15549.0,3,1,2,312,6,Hibernating
7,5149204.0,1.0,14952.0,1,1,2,112,4,Hibernating
8,,,25797.0,,,4,---,4,No Basket History
9,5725399.0,2.0,21004.0,1,2,3,123,6,Hibernating
10,11930144.0,9.0,30360.0,5,5,4,554,14,Champions
11,,,37638.0,,,5,---,5,No Basket History
12,,,12814.0,,,1,---,1,No Basket History
14,10496697.0,6.0,14548.0,4,5,2,452,11,Loyal Visitors
15,11191987.0,5.0,13570.0,4,4,2,442,10,Loyal Visitors
16,10080921.0,3.0,15139.0,3,3,2,332,8,Need Attention
18,10755773.0,8.0,28953.0,4,5,4,454,13,Champions
19,10385478.0,7.0,15052.0,3,5,2,352,10,Loyal Visitors
20,3612050.0,3.0,40715.0,1,3,5,135,9,Need Attention
22,11840381.0,15.0,21246.0,5,5,3,553,13,Champions
24,11238478.0,9.0,26682.0,4,5,4,454,13,Champions
25,11785882.0,3.0,13348.0,5,3,1,531,9,Promising
26,12158879.0,4.0,80542.0,5,4,5,545,14,Champions
27,12025195.0,3.0,14116.0,5,3,2,532,10,Loyal Visitors
28,11532060.0,3.0,15766.0,5,3,2,532,10,Loyal Visitors
29,10537821.0,2.0,16759.0,4,2,2,422,8,Promising
30,10688023.0,4.0,15919.0,4,4,2,442,10,Loyal Visitors
31,11615435.0,3.0,15773.0,5,3,2,532,10,Loyal Visitors
33,,,14928.0,,,2,---,2,No Basket History
34,6524496.0,1.0,19500.0,2,1,3,213,6,Hibernating
35,9030232.0,3.0,44115.0,3,3,5,335,11,High Spenders
36,10651098.0,5.0,46680.0,4,4,5,445,13,Champions
37,6803808.0,6.0,34105.0,2,5,5,255,12,High Spenders
38,219897.0,1.0,12165.0,1,1,1,111,3,Hibernating
39,11913367.0,5.0,45844.0,5,4,5,545,14,Champions
40,11799125.0,7.0,42250.0,5,5,5,555,15,Champions
41,7506458.0,2.0,6762.0,2,2,1,221,5,Hibernating
42,11360182.0,5.0,12432.0,4,4,1,441,9,Promising
44,11131687.0,7.0,19960.0,4,5,3,453,12,Loyal Visitors
46,11320043.0,6.0,22885.0,4,5,3,453,12,Loyal Visitors
47,,,8173.0,,,1,---,1,No Basket History
48,10999198.0,6.0,12801.0,4,5,1,451,10,Loyal Visitors
49,6418761.0,2.0,41734.0,2,2,5,225,9,At Risk
50,10825849.0,6.0,41362.0,4,5,5,455,14,Champions
52,11912518.0,6.0,35289.0,5,5,5,555,15,Champions
53,7927489.0,1.0,12490.0,2,1,1,211,4,Hibernating
54,,,27717.0,,,4,---,4,No Basket History
55,2105749.0,2.0,42610.0,1,2,5,125,8,At Risk
56,,,11550.0,,,1,---,1,No Basket History
57,184391.0,1.0,12251.0,1,1,1,111,3,Hibernating
59,9560436.0,3.0,14444.0,3,3,2,332,8,Need Attention
60,4253447.0,3.0,31053.0,1,3,4,134,8,Need Attention
61,11340177.0,1.0,13339.0,4,1,1,411,6,Hibernating
62,10057625.0,1.0,20989.0,3,1,3,313,7,At Risk
63,,,15177.0,,,2,---,2,No Basket History
64,9102783.0,5.0,15897.0,3,4,2,342,9,Need Attention
66,6204998.0,1.0,18896.0,2,1,3,213,6,Hibernating
69,10251153.0,8.0,23167.0,3,5,4,354,12,High Spenders
70,,,16866.0,,,2,---,2,No Basket History
71,4042844.0,2.0,15834.0,1,2,2,122,5,Hibernating
72,9797512.0,3.0,11288.0,3,3,1,331,7,Need Attention
73,7314449.0,1.0,21484.0,2,1,3,213,6,Hibernating
74,10880217.0,2.0,20258.0,4,2,3,423,9,Promising
75,11993097.0,6.0,26097.0,5,5,4,554,14,Champions
76,11719866.0,13.0,22497.0,5,5,3,553,13,Champions
77,10702496.0,11.0,34534.0,4,5,5,455,14,Champions
78,11989648.0,3.0,27805.0,5,3,4,534,12,High Spenders
79,,,32293.0,,,5,---,5,No Basket History
80,8421656.0,5.0,26243.0,2,4,4,244,10,High Spenders
81,6352272.0,1.0,10218.0,2,1,1,211,4,Hibernating
82,,,12673.0,,,1,---,1,No Basket History
83,11562309.0,4.0,30060.0,5,4,4,544,13,Champions
84,11781359.0,14.0,57507.0,5,5,5,555,15,Champions
85,11706018.0,3.0,10084.0,5,3,1,531,9,Promising
86,10033395.0,1.0,29802.0,3,1,4,314,8,At Risk
87,9312147.0,3.0,38405.0,3,3,5,335,11,High Spenders
89,12068506.0,6.0,19206.0,5,5,3,553,13,Champions
90,11761643.0,4.0,20110.0,5,4,3,543,12,Loyal Visitors
91,1104249.0,3.0,10741.0,1,3,1,131,5,Hibernating
92,763692.0,1.0,17454.0,1,1,2,112,4,Hibernating
94,10900539.0,5.0,11229.0,4,4,1,441,9,Promising
95,10344458.0,3.0,20581.0,3,3,3,333,9,Need Attention
97,1434513.0,2.0,18437.0,1,2,3,123,6,Hibernating
100,9956944.0,6.0,13295.0,3,5,1,351,9,Need Attention
102,12166919.0,1.0,17685.0,5,1,3,513,9,Promising
103,11216192.0,3.0,25875.0,4,3,4,434,11,High Spenders
105,4968707.0,3.0,57965.0,1,3,5,135,9,Need Attention
106,10806181.0,5.0,26440.0,4,4,4,444,12,High Spenders
107,10884931.0,3.0,29026.0,4,3,4,434,11,High Spenders
108,8408339.0,5.0,19988.0,2,4,3,243,9,Need Attention
109,11382601.0,6.0,20534.0,4,5,3,453,12,Loyal Visitors
110,,,20567.0,,,3,---,3,No Basket History
111,,,30993.0,,,4,---,4,No Basket History
112,11431859.0,2.0,12899.0,4,2,1,421,7,Promising
113,,,15936.0,,,2,---,2,No Basket History
114,6436244.0,2.0,12044.0,2,2,1,221,5,Hibernating
115,5122676.0,1.0,39767.0,1,1,5,115,7,At Risk
116,497417.0,1.0,32239.0,1,1,5,115,7,At Risk
117,1807464.0,1.0,62683.0,1,1,5,115,7,At Risk
119,11086275.0,3.0,27933.0,4,3,4,434,11,High Spenders
120,,,22829.0,,,3,---,3,No Basket History
121,11525701.0,5.0,14113.0,5,4,2,542,11,Loyal Visitors
122,7826554.0,2.0,41764.0,2,2,5,225,9,At Risk
123,11599519.0,6.0,33345.0,5,5,5,555,15,Champions
124,10437746.0,5.0,14369.0,4,4,2,442,10,Loyal Visitors
125,11681447.0,1.0,18108.0,5,1,3,513,9,Promising
126,,,44916.0,,,5,---,5,No Basket History
127,10300738.0,5.0,45519.0,3,4,5,345,12,High Spenders
128,11065597.0,2.0,28632.0,4,2,4,424,10,High Spenders
129,11353768.0,7.0,18742.0,4,5,3,453,12,Loyal Visitors
130,6189607.0,2.0,11097.0,2,2,1,221,5,Hibernating
131,2236059.0,3.0,17109.0,1,3,2,132,6,Hibernating
132,7439878.0,5.0,22373.0,2,4,3,243,9,Need Attention
134,8785234.0,2.0,16379.0,2,2,2,222,6,Hibernating
135,11125223.0,3.0,27507.0,4,3,4,434,11,High Spenders
136,10531828.0,4.0,14344.0,4,4,2,442,10,Loyal Visitors
137,11973792.0,4.0,7506.0,5,4,1,541,10,Loyal Visitors
138,,,17562.0,,,2,---,2,No Basket History
139,,,21697.0,,,3,---,3,No Basket History
141,12148184.0,4.0,16052.0,5,4,2,542,11,Loyal Visitors
142,4464758.0,1.0,51594.0,1,1,5,115,7,At Risk
144,10737156.0,1.0,37321.0,4,1,5,415,10,High Spenders
145,8548311.0,2.0,33219.0,2,2,5,225,9,At Risk
146,6308511.0,2.0,7679.0,2,2,1,221,5,Hibernating
147,5959392.0,2.0,27405.0,1,2,4,124,7,At Risk
148,5474128.0,1.0,19058.0,1,1,3,113,5,Hibernating
149,8601820.0,1.0,21895.0,2,1,3,213,6,Hibernating
152,,,11132.0,,,1,---,1,No Basket History
154,1236114.0,1.0,22976.0,1,1,3,113,5,Hibernating
157,262686.0,1.0,24835.0,1,1,4,114,6,Hibernating
158,11695574.0,1.0,23254.0,5,1,4,514,10,High Spenders
159,10110098.0,2.0,5117.0,3,2,1,321,6,Hibernating
160,7632173.0,2.0,17115.0,2,2,2,222,6,Hibernating
161,10324560.0,1.0,31384.0,3,1,4,314,8,At Risk
162,11371290.0,2.0,13825.0,4,2,2,422,8,Promising
163,7796462.0,1.0,6864.0,2,1,1,211,4,Hibernating
165,11448340.0,11.0,43718.0,4,5,5,455,14,Champions
166,6037460.0,1.0,27398.0,1,1,4,114,6,Hibernating
168,4298327.0,2.0,28767.0,1,2,4,124,7,At Risk
170,2815027.0,1.0,34709.0,1,1,5,115,7,At Risk
171,10876533.0,5.0,20197.0,4,4,3,443,11,Loyal Visitors
172,8544678.0,6.0,8878.0,2,5,1,251,8,Need Attention
173,11896596.0,3.0,17252.0,5,3,2,532,10,Loyal Visitors
