customer_id,recency_invoice,frequency,total_spending,R_score,F_score,M_score,RFM_code,RFM_total
3,7994762.0,2.0,18590.0,2,2,3,223,7
4,9516601.0,2.0,20233.0,3,2,3,323,8
5,9251722.0,1.0,15549.0,3,1,2,312,6
7,5149204.0,1.0,14952.0,1,1,2,112,4
8,,,25797.0,,,4,---,4
9,5725399.0,2.0,21004.0,1,2,3,123,6
10,11930144.0,9.0,30360.0,5,5,4,554,14
11,,,37638.0,,,5,---,5
12,,,12814.0,,,1,---,1
14,10496697.0,6.0,14548.0,4,5,2,452,11
15,11191987.0,5.0,13570.0,4,4,2,442,10
16,10080921.0,3.0,15139.0,3,3,2,332,8
18,10755773.0,8.0,28953.0,4,5,4,454,13
19,10385478.0,7.0,15052.0,3,5,2,352,10
20,3612050.0,3.0,40715.0,1,3,5,135,9
22,11840381.0,15.0,21246.0,5,5,3,553,13
24,11238478.0,9.0,26682.0,4,5,4,454,13
25,11785882.0,3.0,13348.0,5,3,1,531,9
26,12158879.0,4.0,80542.0,5,4,5,545,14
27,12025195.0,3.0,14116.0,5,3,2,532,10
28,11532060.0,3.0,15766.0,5,3,2,532,10
29,10537821.0,2.0,16759.0,4,2,2,422,8
30,10688023.0,4.0,15919.0,4,4,2,442,10
31,11615435.0,3.0,15773.0,5,3,2,532,10
33,,,14928.0,,,2,---,2
34,6524496.0,1.0,19500.0,2,1,3,213,6
35,9030232.0,3.0,44115.0,3,3,5,335,11
36,10651098.0,5.0,46680.0,4,4,5,445,13
37,6803808.0,6.0,34105.0,2,5,5,255,12
38,219897.0,1.0,12165.0,1,1,1,111,3
39,11913367.0,5.0,45844.0,5,4,5,545,14
40,11799125.0,7.0,42250.0,5,5,5,555,15
41,7506458.0,2.0,6762.0,2,2,1,221,5
42,11360182.0,5.0,12432.0,4,4,1,441,9
44,11131687.0,7.0,19960.0,4,5,3,453,12
46,11320043.0,6.0,22885.0,4,5,3,453,12
47,,,8173.0,,,1,---,1
48,10999198.0,6.0,12801.0,4,5,1,451,10
49,6418761.0,2.0,41734.0,2,2,5,225,9
50,10825849.0,6.0,41362.0,4,5,5,455,14
52,11912518.0,6.0,35289.0,5,5,5,555,15
53,7927489.0,1.0,12490.0,2,1,1,211,4
54,,,27717.0,,,4,---,4
55,2105749.0,2.0,42610.0,1,2,5,125,8
56,,,11550.0,,,1,---,1
57,184391.0,1.0,12251.0,1,1,1,111,3
59,9560436.0,3.0,14444.0,3,3,2,332,8
60,4253447.0,3.0,31053.0,1,3,4,134,8
61,11340177.0,1.0,13339.0,4,1,1,411,6
62,10057625.0,1.0,20989.0,3,1,3,313,7
63,,,15177.0,,,2,---,2
64,9102783.0,5.0,15897.0,3,4,2,342,9
66,6204998.0,1.0,18896.0,2,1,3,213,6
69,10251153.0,8.0,23167.0,3,5,4,354,12
70,,,16866.0,,,2,---,2
71,4042844.0,2.0,15834.0,1,2,2,122,5
72,9797512.0,3.0,11288.0,3,3,1,331,7
73,7314449.0,1.0,21484.0,2,1,3,213,6
74,10880217.0,2.0,20258.0,4,2,3,423,9
75,11993097.0,6.0,26097.0,5,5,4,554,14
76,11719866.0,13.0,22497.0,5,5,3,553,13
77,10702496.0,11.0,34534.0,4,5,5,455,14
78,11989648.0,3.0,27805.0,5,3,4,534,12
